run_date,indicator_id,metric,data_date,data_url,delay_warning,verdict,trend,conclusion,overall_credibility
2026-05-20,1,元大台灣50 (0050) / 台積電 (2330) 股價,unknown,https://finance.yahoo.com/quote/0050.TW,,尚未明朗,原始內容摘要為空，無法取得最新股價數據。,無法取得元大台灣50/台積電的最新股價數據，趨勢不明。,尚未明朗
2026-05-20,2,台灣六都房價指數,unknown,https://www.macromicro.me/charts/25227/taiwan-house-price-index,,尚未明朗,原始內容摘要顯示技術問題，無法取得房價指數數據。,因網頁技術問題無法獲取台灣六都房價指數數據，趨勢不明。,尚未明朗
2026-05-20,3,TLT 長天期美債 ETF 價格,unknown,https://finance.yahoo.com/quote/TLT,,尚未明朗,原始內容摘要顯示網頁錯誤，無法取得TLT長天期美債ETF價格。,網頁顯示錯誤，無法取得TLT長天期美債ETF最新價格數據，趨勢不明。,尚未明朗
2026-05-20,1,元大台灣50 (0050) / 台積電 (2330) 股價,2026-05-20,https://finance.yahoo.com/quote/0050.TW,,尚未明朗,目前數據為單一收盤價，無法判斷自言論發布以來的大盤股票趨勢走向。,元大台灣50於2026年5月20日收盤價為92.95，短期趨勢尚未明朗。,尚未明朗
2026-05-20,2,台灣六都房價指數,unknown,https://www.macromicro.me/charts/25227/taiwan-house-price-index,,尚未明朗,網站防火牆阻擋數據抓取，無法判斷房價指數趨勢。,台灣六都房價指數因網站數據無法取得，目前無法進行驗證。,尚未明朗
2026-05-20,3,TLT 長天期美債 ETF 價格,2026-05-19,https://finance.yahoo.com/quote/TLT,,尚未明朗,目前數據為單一收盤價，無法判斷自言論發布以來的長天期美債價格趨勢走向。,TLT長天期美債ETF於2026年5月19日收盤價為83.02，短期趨勢尚未明朗。,尚未明朗
2026-05-20,1,元大台灣50 (0050) / 台積電 (2330) 股價,2026-05-20,https://finance.yahoo.com/quote/0050.TW,,尚未明朗,最新股價數據顯示為 nan，無法判斷趨勢。,無法判讀元大台灣50股價趨勢，因數據缺失。,尚未明朗
2026-05-20,2,台灣六都房價指數,unknown,https://www.macromicro.me/charts/25227/taiwan-house-price-index,,尚未明朗,因網站防爬蟲機制，無法獲取房價指數數據，故無法判斷趨勢。,無法獲取台灣六都房價指數數據。,尚未明朗
2026-05-20,3,TLT 長天期美債 ETF 價格,2026-05-20,https://finance.yahoo.com/quote/TLT,,尚未明朗,長天期美債 ETF 當前收盤價為 83.91，單日數據無法判斷長期趨勢。,長天期美債 ETF 的趨勢判斷需要更多時間觀察。,尚未明朗
2026-05-22,1,元大台灣50 (0050) / 台積電 (2330) 股價,2026-05-22,https://finance.yahoo.com/quote/0050.TW,,尚未明朗,由於收盤價、最高價與最低價數據均顯示為nan，無法判斷當日股價走勢，也無法與預測方向進行對比。,數據缺失，無法評估股票趨勢與預測相符性。,尚未明朗
2026-05-22,2,台灣六都房價指數,unknown,https://www.macromicro.me/charts/25227/taiwan-house-price-index,,尚未明朗,網站防火牆啟動防爬蟲機制，未能成功抓取任何數據，因此無法判斷房價指數走勢。,數據無法取得，無法評估房價指數趨勢。,尚未明朗
